id,slug,name,overview,geography,headquarters,market_context,website_url,public_contact_email,public_contact_phone,last_updated_at
company-1,northshore-dynamics,Northshore Dynamics,Builds cold-weather sensing and relay infrastructure for maritime monitoring,canada,Halifax Canada,Growing northern sensing supplier with recent field validation,https://example.com/northshore,hello@northshore.example.com,+1-555-000-1000,2026-04-08T00:00:00.000Z
company-2,polar-mesh,Polar Mesh,Provides edge networking and data fusion infrastructure for remote sensing operations,nato,Reykjavik Iceland,Active in NATO-aligned distributed monitoring pilots,https://example.com/polarmesh,bd@polarmesh.example.com,+354-555-0100,2026-04-06T00:00:00.000Z
company-3,aegir-robotics,Aegir Robotics,Develops autonomous underwater systems with modular ISR payloads,nato,Trondheim Norway,Established maritime robotics firm entering Arctic security programs,https://example.com/aegir,contact@aegir.example.com,+47-555-0200,2026-02-15T00:00:00.000Z
company-4,icethread-analytics,IceThread Analytics,Builds analytics software for Arctic traffic and sensor anomaly detection,canada,Ottawa Canada,Software-first team aligned with northern monitoring missions,https://example.com/icethread,team@icethread.example.com,+1-555-000-1100,2026-04-11T00:00:00.000Z
company-5,boreal-spectrum,Boreal Spectrum,Provides radar and environmental analytics for coastal watch and ice movement tracking,canada,St Johns Canada,Strong coastal sensing fit with recent northern evaluations,https://example.com/boreal,contact@boreal.example.com,+1-555-000-1200,2026-04-11T00:00:00.000Z
company-6,aurora-relay-systems,Aurora Relay Systems,Builds relay infrastructure for remote sensing and northern communications resilience,canada,Yellowknife Canada,Focused on extending field connectivity across austere operating areas,https://example.com/aurora-relay,info@aurorarelay.example.com,+1-555-000-1300,2026-04-07T00:00:00.000Z
company-7,fjord-cloud-imaging,Fjord Cloud Imaging,Provides change detection products from SAR and overhead imagery,nato,Copenhagen Denmark,Imagery analytics specialist with Arctic monitoring relevance,https://example.com/fjord-cloud,bd@fjordcloud.example.com,+45-555-0140,2026-04-09T00:00:00.000Z
company-8,snowcap-autonomous-systems,Snowcap Autonomous Systems,Builds unmanned ground systems for snow and ice mobility missions,canada,Whitehorse Canada,Early-stage mobility firm with trial-stage northern systems,https://example.com/snowcap,hello@snowcap.example.com,+1-555-000-1400,2026-01-10T00:00:00.000Z
company-9,drift-signal-labs,Drift Signal Labs,Develops passive RF sensing systems for remote maritime approaches,nato,Helsinki Finland,Signals-focused company with defence-adjacent maritime use cases,https://example.com/drift-signal,contact@driftsignal.example.com,+358-555-0150,2026-04-05T00:00:00.000Z
company-10,tundra-edge-ai,Tundra Edge AI,Builds mission software for disconnected and compute-constrained field operations,canada,Calgary Canada,Software team aligned with remote operations and austere edge deployment,https://example.com/tundra-edge,team@tundraedge.example.com,+1-555-000-1500,2026-04-12T00:00:00.000Z
company-11,arctic-current-robotics,Arctic Current Robotics,Builds support infrastructure for unmanned maritime endurance and recovery,nato,Bergen Norway,Early-stage support systems supplier for persistent unmanned patrols,https://example.com/arctic-current,contact@arcticcurrent.example.com,+47-555-0160,2025-11-20T00:00:00.000Z
company-12,northwatch-satellite-data,Northwatch Satellite Data,Provides satellite monitoring products for vessel movement and ice route awareness,canada,Montreal Canada,Space-enabled monitoring company with strong Arctic route relevance,https://example.com/northwatch,data@northwatch.example.com,+1-555-000-1600,2026-04-13T00:00:00.000Z
company-13,coldwater-optics,Coldwater Optics,Builds elevated EO and IR watch systems for austere surveillance sites,nato,Portsmouth UnitedKingdom,Optics supplier with field-deployable watch systems,https://example.com/coldwater-optics,bd@coldwateroptics.example.com,+44-555-0170,2026-04-03T00:00:00.000Z
company-14,polar-guardian-energy,Polar Guardian Energy,Builds portable power systems for remote sensing and communications equipment,canada,Edmonton Canada,Field energy supplier relevant to long-endurance northern deployments,https://example.com/polar-guardian,info@polarguardian.example.com,+1-555-000-1700,2026-04-02T00:00:00.000Z
company-15,inlet-communications,Inlet Communications,Builds mesh radios for resilient local networks in remote expeditionary settings,nato,Tromso Norway,Communications firm positioned for temporary northern operating sites,https://example.com/inlet-comms,hello@inletcomms.example.com,+47-555-0180,2026-04-12T00:00:00.000Z
pilot-company-kraken-robotics,kraken-robotics,Kraken Robotics,"Canadian subsea technology company with synthetic aperture sonar, underwater imaging, subsea power, and robotic systems relevant to underwater awareness and autonomous maritime operations.",canada,St. John's Newfoundland and Labrador Canada,Useful candidate for underwater ISR and Arctic maritime awareness where high-resolution seabed or subsea detection data supports operator decisions.,https://www.krakenrobotics.com/,,,2026-04-24T00:00:00.000Z
pilot-company-mda-space,mda-space,MDA Space,"Canadian space and mission systems company with Earth observation, radar, space robotics, satellite operations, and maritime awareness capabilities.",canada,Brampton Ontario Canada,Relevant to Arctic domain awareness where persistent all-weather overhead observation and maritime monitoring support sparse northern coverage.,https://mda.space/,,,2026-04-24T00:00:00.000Z
pilot-company-cellula-robotics,cellula-robotics,Cellula Robotics,Canadian underwater robotics company developing long-endurance autonomous underwater vehicles and related subsea autonomy systems.,canada,Burnaby British Columbia Canada,Relevant to underwater ISR and autonomous patrol where endurance and autonomous subsea operation are mission constraints.,https://cellula.com/,,,2026-04-24T00:00:00.000Z
pilot-company-kongsberg-geospatial,kongsberg-geospatial,Kongsberg Geospatial,"Ottawa-based geospatial software company providing airspace visualization, unmanned systems awareness, and mission display software for complex operations.",canada,Ottawa Ontario Canada,Relevant to autonomous patrol and edge data processing where operators need fused situational awareness for uncrewed systems and degraded-connectivity missions.,https://www.kongsberggeospatial.com/,,,2026-04-24T00:00:00.000Z
