name,url,source_kind,coverage_notes,mission_area_fit,domain_fit,credibility,status,last_checked,search_notes,recurring_feed_available,recurring_feed_notes,expected_organization_yield,geography,organization_kinds,issuer_coverage,refresh_cadence,canonical_domain_owner,last_successful_discovery,access_limitations,recursive_follow_up_urls,access_method,source_posture,supported_signal_types,last_signal_found,last_successful_refresh
DARIT Technologies official site,https://www.darit.tech/,company_site,Official Canadian counter-UAS company page for identity artificial intelligence and computer vision capability,Autonomous Patrol And Monitoring|Arctic Domain Awareness,Sensing And ISR|Autonomous Systems,high,active,2026-08-02,Follow company capability pages French releases and IDEaS references for durable counter-UAS evidence,yes,Official pages and French releases provide recurring company activity,medium,Canada,company,,monthly,darit.tech,2026-08-02,Company-authored capability claims need government or independent corroboration before publication,https://www.darit.tech/blog|https://www.darit.tech/contact,public_web,evidence_anchor,technology_launch|technology_update|program_or_cohort_participation,2026-02-18,2026-08-02
Prandtl Dynamics official site,https://prandtldynamics.com/,company_site,Official Canadian acoustic counter-UAS sensing company page with public product positioning,Autonomous Patrol And Monitoring|Arctic Domain Awareness,Sensing And ISR|Autonomous Systems,high,active,2026-08-02,Follow acoustic sensing pages CIPO records and IDEaS trial references for durable evidence,yes,Official site and public intellectual property records provide recurring evidence,medium,Canada,company,,monthly,prandtldynamics.com,2026-08-02,Performance and maturity wording requires reviewer confirmation,https://ised-isde.canada.ca/cipo/trademark-search/pdf/2450211?lang=eng,public_web,evidence_anchor,technology_update|program_or_cohort_participation,2026-02-18,2026-08-02
OBJEXIS official site,https://www.objexis.ai/about.html,company_site,Official Oakville company page for artificial intelligence sensing and counter-UAS object classification,Autonomous Patrol And Monitoring|Edge Data Processing,Sensing And ISR|Mission Software And Data,high,active,2026-08-02,Follow about contact and IDEaS references for identity and durable capability evidence,yes,Official company pages provide recurring identity and capability evidence,medium,Canada,company,,monthly,objexis.ai,2026-08-02,Company product framing should remain bounded until independent current activity is confirmed,https://www.objexis.ai/contact.html|https://www.canada.ca/en/department-national-defence/news/2026/02/minister-mcguinty-congratulates-innovators-announces-175m-prize-winners-of-urban-drone-detection-trials-in-ottawa.html,public_web,evidence_anchor,technology_update|program_or_cohort_participation,2026-02-18,2026-08-02
Ravelin Dynamics official site,https://www.ravelindynamics.com/,company_site,Official Newfoundland and Labrador airspace surveillance and defence cueing company page,Autonomous Patrol And Monitoring|Arctic Domain Awareness,Sensing And ISR|Communications And Cyber,high,active,2026-08-02,Follow company pages and IDEaS counter-UAS challenge context for durable identity and capability evidence,no,Official site is the primary recurring source,medium,Canada,company,,monthly,ravelindynamics.com,2026-08-02,Customer and operational adoption claims require independent corroboration,https://www.canada.ca/en/department-national-defence/programs/defence-ideas/element/sandboxes/challenge/counter-uncrewed-aerial-systems-sandbox-2026.html,public_web,evidence_anchor,technology_update|government_project,2026-08-02,2026-08-02
Borealis Propulsion official site,https://borealispropulsion.com/,company_site,Official Vancouver space propulsion company page for liquid electric propulsion and kick-stage systems,Edge Data Processing|Arctic Domain Awareness,Aerospace And Mobility|Advanced Manufacturing And Integration,high,active,2026-08-02,Follow propulsion portfolio manufacturing and Canadian space ecosystem links for durable evidence,no,Official site is the primary recurring source,medium,Canada,company,,monthly,borealispropulsion.com,2026-08-02,Flight heritage and current contract status require independent confirmation,https://www.asc-csa.gc.ca/eng/|https://www.canada.ca/en/innovation-science-economic-development/services/science-technology-innovation.html,public_web,evidence_anchor,technology_launch|technology_update,2026-08-02,2026-08-02
Space Engine Systems official site,https://www.spaceenginesystems.com/about,company_site,Official Edmonton aerospace company page for reusable multi-fuel air-breathing engine research,Edge Data Processing|Arctic Domain Awareness,Aerospace And Mobility|Advanced Manufacturing And Integration,high,active,2026-08-02,Follow about home and public quality or controlled-goods references for bounded propulsion evidence,no,Official site is the primary recurring source,medium,Canada,company,,monthly,spaceenginesystems.com,2026-08-02,Performance maturity and flight claims require independent test or contract evidence,https://www.spaceenginesystems.com/home|https://www.asc-csa.gc.ca/eng/,public_web,evidence_anchor,technology_update,2026-08-02,2026-08-02
AerialX official site,https://www.aerialx.com/about/,company_site,Official Vancouver counter-drone and tactical microdrone company pages,Autonomous Patrol And Monitoring|Arctic Domain Awareness,Autonomous Systems|Sensing And ISR,high,active,2026-08-02,Follow about home and contact pages while checking regulatory and operational boundaries,no,Official pages provide recurring company activity,medium,Canada,company,,monthly,aerialx.com,2026-08-02,Regulated-use descriptions require legal identity and deployment review,https://www.aerialx.com/|https://www.aerialx.com/contacts/,public_web,evidence_anchor,technology_update,2026-08-02,2026-08-02
Dartmouth Ocean Technologies official site,https://www.dartmouthocean.com/about-us/,company_site,Official Dartmouth Nova Scotia ocean technology pages for eDNA samplers lab-on-chip sensors and underwater monitoring,Underwater ISR|Arctic Domain Awareness,Sensing And ISR|Test Training And Sustainment,high,active,2026-08-02,Follow about home and Ocean Supercluster project sources for durable underwater sensing evidence,yes,Official product pages and ocean ecosystem reports provide recurring activity,medium,Canada,company,,monthly,dartmouthocean.com,2026-08-02,Defence customer and procurement evidence remains a reviewer gap,https://www.dartmouthocean.com/|https://oceansupercluster.ca/wp-content/uploads/2022/09/OSC_Annual-Report_Sept-12.pdf,public_web,evidence_anchor,technology_update|partnership_or_consortium,2026-08-02,2026-08-02
Qii.AI official site,https://qii.ai/,company_site,Official Toronto inspection AI platform pages for virtual inspection three-dimensional defect intelligence and machine learning,Underwater ISR|Edge Data Processing,Sensing And ISR|Mission Software And Data,high,active,2026-08-02,Follow AI technology pages and Ocean Supercluster project evidence for durable inspection analytics,yes,Official product pages and project sources provide recurring activity,medium,Canada,company,,monthly,qii.ai,2026-08-02,Time-bounded project relationships and performance claims require reviewer confirmation,https://qii.ai/ai/|https://oceansupercluster.ca/project/canadas-ocean-supercluster-announces-8m-ai-rov-ship-modeling-and-detection-project/,public_web,evidence_anchor,technology_update|government_project|partnership_or_consortium,2023-09-12,2026-08-02
APIS Dynamics official site,https://apisdynamics.ca/,company_site,Official Toronto uncrewed systems control software integration and flight-test company page,Autonomous Patrol And Monitoring|Edge Data Processing,Autonomous Systems|Mission Software And Data|Test Training And Sustainment,high,active,2026-08-02,Follow public integration and test material and use IDEaS as discovery context for durable evidence,no,Official site is the primary recurring source,medium,Canada,company,,monthly,apisdynamics.ca,2026-08-02,Current test-site status and customer evidence require reviewer confirmation,https://www.canada.ca/en/department-national-defence/programs/defence-ideas.html,public_web,evidence_anchor,technology_update|government_project,2026-08-02,2026-08-02
Urban Sandbox C-UAS prize winners,https://www.canada.ca/en/department-national-defence/news/2026/02/minister-mcguinty-congratulates-innovators-announces-175m-prize-winners-of-urban-drone-detection-trials-in-ottawa.html,government_program,Government of Canada announcement naming DARIT Technologies Prandtl Dynamics and OBJEXIS in public urban counter-drone trials,Autonomous Patrol And Monitoring|Arctic Domain Awareness,Sensing And ISR|Autonomous Systems,high,active,2026-08-02,Use the named winners as a recursive follow-up into company pages and public trial context without inferring operational adoption,no,Single government announcement with linked company follow-up paths,high,Canada,company,department,annual,canada.ca,2026-08-02,Prize evidence is time-bounded programme activity rather than a current contract,https://www.canada.ca/en/department-national-defence/programs/defence-ideas/element/sandboxes/challenge/counter-uncrewed-aerial-systems-sandbox-2026.html|https://www.darit.tech/|https://prandtldynamics.com/|https://www.objexis.ai/about.html,public_web,strong_corroboration,program_or_cohort_participation|government_project,2026-02-18,2026-08-02
AI ROV ship modelling and detection project,https://oceansupercluster.ca/project/canadas-ocean-supercluster-announces-8m-ai-rov-ship-modeling-and-detection-project/,government_program,Canada Ocean Supercluster project page naming Qii.AI in an AI ROV ship modelling and detection collaboration,Underwater ISR|Edge Data Processing,Sensing And ISR|Mission Software And Data,high,active,2026-08-02,Use project participants as recursive follow-up paths to company and government sources without inferring current procurement,no,Project announcement with durable partner follow-up paths,high,Canada,company,public_program,annual,oceansupercluster.ca,2026-08-02,Project evidence is historical and should remain time-bounded in review,https://qii.ai/|https://www.dartmouthocean.com/|https://www.canada.ca/en/department-national-defence/programs/defence-ideas.html,public_web,strong_corroboration,government_project|partnership_or_consortium,2023-09-12,2026-08-02
Innovation for Defence Excellence and Security,https://www.canada.ca/en/department-national-defence/programs/defence-ideas.html,government_program,Canadian DND innovation challenges funding sandboxes test drives and innovator journeys,All Mission Areas,All Domains,high,active,2026-04-30,Check opportunities annual reports innovator journeys and challenge pages for Canadian companies and concrete capabilities,unknown,,,,,,,,,,
IDEaS Annual Reports,https://www.canada.ca/en/department-national-defence/corporate/reports-publications/ideas-annual-report-2023-2024.html,government_program,Annual reporting on funded defence innovation activity and ecosystem outcomes,All Mission Areas,All Domains,high,active,2026-04-30,Use annual reports to find funded challenge areas and named projects then follow company or program sources,unknown,,,,,,,,,,
Defence Research and Development Canada,https://www.canada.ca/en/defence-research-development.html,government_program,Canadian defence science technology innovation and research domains,All Mission Areas,All Domains,high,active,2026-04-30,Use as official entry point for DRDC research centres domains news and partnerships,unknown,,,,,,,,,,
DRDC Reports and Publications,https://www.canada.ca/en/defence-research-development/corporate/publications.html,government_program,Official DRDC reports and publications hub linking to scientific and technical research,All Mission Areas,All Domains,high,active,2026-04-30,Search for public reports that support mission context or technical evidence,unknown,,,,,,,,,,
DRDC Defence Research Reports Database,https://pubs.drdc-rddc.gc.ca/pubdocs/search_e.html,government_program,Searchable database of scientific and technical research produced by and for DRDC,All Mission Areas,All Domains,high,active,2026-04-30,Search by autonomy sensing ISR cyber communications Arctic maritime and sustainment terms,unknown,,,,,,,,,,
DRDC Research Priorities,https://www.canada.ca/en/defence-research-development/services/science-technology-program.html,government_program,Strategic focus areas for Canadian defence science and technology including NORAD modernization,All Mission Areas,All Domains,high,active,2026-04-30,Use to align research batches to official public priority areas,unknown,,,,,,,,,,
CanadaBuys Tender Opportunities,https://canadabuys.canada.ca/en/tender-opportunities,procurement_portal,Official Government of Canada tender opportunities including defence procurement notices,All Mission Areas,All Domains,high,active,2026-04-30,Search by National Defence keywords capability terms supplier names and solicitation categories,unknown,,,,,,,,,,
CanadaBuys Tender and Award Datasets,https://donnees-data.tpsgc-pwgsc.gc.ca/ba2/ac-cb/soutien-support-eng.html,procurement_portal,Government guidance for CanadaBuys tender and award notice datasets,All Mission Areas,All Domains,high,active,2026-04-30,Use for structured procurement history and award discovery when source leads need contract context,unknown,,,,,,,,,,
PSPC Defence and Marine Procurement,https://www.canada.ca/en/public-services-procurement/services/acquisitions/defence-marine.html,procurement_portal,Official PSPC page for defence and marine acquisitions on behalf of CAF CCG and departments,Arctic Domain Awareness|Underwater ISR|Northern Logistics And Sustainment Readiness,Maritime Systems|ISR & Sensing|Communications & Infrastructure,high,active,2026-04-30,Use for defence marine acquisition context and links to tenders,unknown,,,,,,,,,,
State of Canada's Defence Industry,https://ised-isde.canada.ca/site/aerospace-defence/en/state-canadas-defence-industry,government_program,ISED and CADSI defence industry indicators and sector context,All Mission Areas,All Domains,high,active,2026-04-30,Use for Canadian sector context and industry categories before company-specific sourcing,unknown,,,,,,,,,,
Canadian Arctic Capabilities by Sector,https://www.international.gc.ca/gac-amc/institution/tcs-sdc/publications/cacg-gcac/cacg-gcac.aspx?lang=eng,government_program,Trade Commissioner overview of Canadian Arctic capabilities by sector including aerospace defence and maritime,Arctic Domain Awareness|Northern Logistics And Sustainment Readiness|Expeditionary Communications Resilience,Maritime Systems|Communications & Infrastructure|ISR & Sensing,high,active,2026-04-30,Use to identify Canadian Arctic industry clusters and follow through to company websites,unknown,,,,,,,,,,
RCN Arctic and Northern Strategic Framework,https://www.canada.ca/en/navy/corporate/what-we-do/vision/arctic-and-northern-strategic-framework.html,government_program,Royal Canadian Navy Arctic and northern strategic context,Arctic Domain Awareness|Underwater ISR|Northern Logistics And Sustainment Readiness,Maritime Systems|ISR & Sensing|Communications & Infrastructure,high,active,2026-04-30,Use for public maritime mission context and Arctic operating constraints,unknown,,,,,,,,,,
DND Evaluation of Arctic Operations,https://www.canada.ca/en/department-national-defence/corporate/reports-publications/audit-evaluation/evaluation-arctic-operations.html,government_program,Public evaluation describing Arctic operations gaps including sensing surveillance and information sharing,Arctic Domain Awareness|Distributed Sensor Networks|Expeditionary Communications Resilience,ISR & Sensing|Cyber & Data|Communications & Infrastructure,high,active,2026-04-30,Use for gap language and mission-context evidence not company claims,unknown,,,,,,,,,,
NATO DIANA Accelerator Programme,https://www.diana.nato.int/accelerator-programme.html,government_program,NATO dual-use accelerator programme with innovators accelerator sites test centres and funding paths,All Mission Areas,All Domains,high,active,2026-04-30,Check challenge cohorts accelerator network and innovator pages for NATO-aligned companies,unknown,,,,,,,,,,
NATO DIANA Challenge Programme,https://www.diana.nato.int/challenges.html,government_program,NATO challenge calls for dual-use deep technology across allied defence and security needs,All Mission Areas,All Domains,high,active,2026-04-30,Use challenges to seed search terms then follow selected innovators to company sources,unknown,,,,,,,,,,
NATO Science and Technology Organization,https://www.nato.int/en/about-us/organization/nato-structure/science-and-technology-organization,government_program,NATO collaborative defence and security science forum with programme areas including autonomy ASW quantum and social media,All Mission Areas,All Domains,high,active,2026-04-30,Use for public NATO science context and programme themes,unknown,,,,,,,,,,
NATO STO Publications,https://www.sto.nato.int/publications,government_program,NATO STO publication library for defence science and technology reports,Underwater ISR|Cyber Mission Assurance For Remote Operations|Autonomous Patrol|Edge Data Processing,Maritime Systems|Cyber & Data|Autonomy & Robotics|ISR & Sensing,high,active,2026-04-30,Search reports for capability context and taxonomy support then cite original publications,unknown,,,,,,,,,,
NATO Centre for Maritime Research and Experimentation,https://www.cmre.nato.int,research_lab,NATO maritime research centre focused on maritime domain science experimentation and prototypes,Underwater ISR|Arctic Domain Awareness|Autonomous Patrol,Maritime Systems|ISR & Sensing|Autonomy & Robotics,high,active,2026-04-30,Use for maritime autonomy sensing and underwater research context,unknown,,,,,,,,,,
Canadian Defence Review,https://canadiandefencereview.com/,publication,Canadian defence and military journal covering industry government and military readers,All Mission Areas,All Domains,moderate,active,2026-04-30,Search for Canadian companies procurement announcements uncrewed systems C4ISR NORAD and Arctic topics,unknown,,,,,,,,,,
Canadian Naval Review Arctic,https://www.navalreview.ca/category/broadsides/arctic/,publication,Canadian naval commentary and articles focused on Arctic naval capability and policy,Arctic Domain Awareness|Underwater ISR|Northern Logistics And Sustainment Readiness,Maritime Systems|ISR & Sensing|Communications & Infrastructure,moderate,active,2026-04-30,Use for Arctic maritime context and source leads that need official corroboration,unknown,,,,,,,,,,
Canadian Naval Review Technology,https://www.navalreview.ca/category/broadsides/technology/,publication,Canadian naval technology commentary including unmanned systems naval modernization and sensors,Underwater ISR|Autonomous Patrol|Edge Data Processing,Maritime Systems|Autonomy & Robotics|Cyber & Data,moderate,active,2026-04-30,Use for technology leads then corroborate with company or official sources,unknown,,,,,,,,,,
Unmanned Systems Technology News,https://www.unmannedsystemstechnology.com/article-types/ust-news/,publication,Industry news on UAV UGV USV AUV UUV sensors payloads autonomy and navigation,Autonomous Patrol|Underwater ISR|Distributed Sensor Networks|Arctic Domain Awareness,Autonomy & Robotics|Maritime Systems|ISR & Sensing,moderate,active,2026-04-30,Search for concrete product announcements then follow company source pages,unknown,,,,,,,,,,
Unmanned Systems Technology Magazine,https://www.unmannedsystemstechnology.com/mag/,publication,Unmanned systems industry coverage across air ground surface and subsea vehicles,Autonomous Patrol|Underwater ISR|Distributed Sensor Networks,Autonomy & Robotics|Maritime Systems|ISR & Sensing,moderate,active,2026-04-30,Use for supplier discovery and payload technology leads,unknown,,,,,,,,,,
Naval News,https://www.navalnews.com/,publication,Naval defence news including maritime systems unmanned platforms sensors and procurement,Underwater ISR|Arctic Domain Awareness|Autonomous Patrol,Maritime Systems|ISR & Sensing|Autonomy & Robotics,moderate,active,2026-04-30,Search for UUV USV ASW sonar Arctic patrol and company announcements,unknown,,,,,,,,,,
Defense News,https://www.defensenews.com/,publication,Global defence industry and procurement news including NATO Arctic unmanned and C4ISR topics,All Mission Areas,All Domains,moderate,active,2026-04-30,Search for company mentions and program context then follow primary sources,unknown,,,,,,,,,,
