id,company_id,slug,name,capability_type,domain_id,summary,company_facing_context,last_updated_at
capability-1,company-1,fjordsense-passive-array,FjordSense Passive Array,Sensing System,domain-2,Fixed passive acoustic array for under-ice monitoring where patrol coverage is thin,Best suited for fixed underwater watch lines in ice-affected approaches,2026-03-28T00:00:00.000Z
capability-2,company-1,northshore-ice-relay-buoy,Northshore Ice Relay Buoy,Relay Infrastructure,domain-5,Autonomous relay buoy that keeps offshore Arctic sensors connected through ice season,Best where offshore sensors need winter connectivity without staffed sites,2026-04-08T00:00:00.000Z
capability-3,company-2,polar-mesh-edge-grid,Polar Mesh Edge Grid,Data Platform,domain-4,Edge fusion layer that merges radar acoustic and satellite feeds into one operating picture,Best for teams stitching together multiple Arctic monitoring tools,2026-04-06T00:00:00.000Z
capability-4,company-2,polar-mesh-bandwidth-governor,Polar Mesh Bandwidth Governor,Network Control Software,domain-5,Traffic orchestration software that protects mission-critical data on degraded northern links,Useful only where link saturation is limiting remote operations,2026-03-02T00:00:00.000Z
capability-5,company-3,aegir-scout-auv,Aegir Scout AUV,Robotics Platform,domain-1,Autonomous underwater patrol vehicle built for under-ice ISR where surface access is limited,Most relevant for missions that need subsea reach beyond crewed patrols,2026-01-12T00:00:00.000Z
capability-6,company-3,aegir-ice-margin-mapper,Aegir Ice Margin Mapper,Payload System,domain-2,Mission payload that maps ice edge movement and subsea anomalies during AUV patrols,Creates mission value only when paired with an operational AUV platform,2026-02-15T00:00:00.000Z
capability-7,company-4,icethread-arctic-pattern-engine,IceThread Arctic Pattern Engine,Analytics Software,domain-4,Anomaly detection software that flags suspicious vessel behavior across sparse Arctic feeds,Best when teams need alerting instead of manual review across many data sources,2026-04-11T00:00:00.000Z
capability-8,company-5,boreal-spectrum-shoreline-radar,Boreal Spectrum Shoreline Radar,Radar System,domain-2,Coastal radar stack optimized for narrow Arctic approaches and ice-affected chokepoints,Best suited for fixed watch sites covering high-value corridors,2026-04-11T00:00:00.000Z
capability-9,company-5,boreal-spectrum-ice-drift-classifier,Boreal Spectrum Ice Drift Classifier,Environmental Analytics,domain-4,Forecast model that converts radar tracks into near-term ice route risk decisions,Most useful where operators already collect radar data but need route calls faster,2026-04-11T00:00:00.000Z
capability-10,company-6,aurora-longline-relay,Aurora Longline Relay,Relay Node,domain-5,Long-range relay node that backhauls remote coastal sensors across sparse northern corridors,Best for corridor-scale sensing where permanent infrastructure is absent,2026-03-14T00:00:00.000Z
