id,capability_id,use_case_id,cluster_id,pathway,relevance_band,defence_relevance,suggested_action_type,action_note,why_it_matters,reviewer_override_delta,evidence_strength,actionability_score,last_signal_at,stale_after_days,data_stage,source_confidence,research_rationale,source_batch_id
cuc-1,capability-1,use-case-1,cluster-1,validate,high,high,connect_to_end_user_validation,Prioritize operator validation on fixed subsea watch lines,Provides passive underwater detection in ice-covered approaches where aircraft and satellites lose persistence,1,5,5,2026-03-15T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-2,capability-2,use-case-1,cluster-6,validate,high,high,explore_testbed_inclusion,Best relay candidate for remote winter sensor pilots,Keeps offshore sensors online through ice season where staffed relay infrastructure is absent,0,5,5,2026-02-27T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-3,capability-3,use-case-1,cluster-5,validate,high,high,introduce_to_integrator,Strong fusion layer for multi-sensor Arctic pilots,Combines dispersed sensor feeds into one operating picture when teams would otherwise manage separate tools,1,5,5,2026-02-20T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-4,capability-4,use-case-1,cluster-6,validate,low,medium,monitor_for_later_stage_engagement,Only relevant where bandwidth is the main constraint,Protects high-value alerts on degraded northern links when full data transport is unrealistic,-3,3,0,2026-01-30T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-5,capability-5,use-case-1,cluster-3,build,medium,high,explore_testbed_inclusion,Useful for under-ice test events not near-term deployment,Extends surveillance below ice where crewed patrols and surface systems cannot reach,-2,3,0,2025-12-11T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-6,capability-6,use-case-1,cluster-3,validate,high,high,connect_to_end_user_validation,Validate with patrol teams using subsea payload trials,Adds ice-edge and subsurface context during unmanned patrols where fixed sensors cannot see the whole pattern,0,3,5,2026-02-08T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-7,capability-7,use-case-1,cluster-5,scale,high,high,assess_procurement_relevance,Near-term analytics option for operational watch cells,Turns scattered Arctic anomalies into an actionable queue for teams that cannot monitor every feed live,4,5,5,2026-03-21T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-8,capability-8,use-case-1,cluster-2,scale,high,high,assess_procurement_relevance,One of the clearest fixed-site engagement options,Provides continuous watch over constrained Arctic approaches where satellite revisit is too slow for immediate cueing,3,5,5,2026-03-02T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-9,capability-9,use-case-1,cluster-5,validate,high,medium,connect_to_end_user_validation,Use where route risk decisions matter more than raw tracks,Converts radar observations into route risk decisions when ice movement changes faster than planning cycles,0,3,5,2026-02-14T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-10,capability-10,use-case-1,cluster-6,validate,high,high,explore_testbed_inclusion,Strong corridor relay candidate for Arctic exercises,Moves sensor traffic across remote coastlines where permanent communications infrastructure does not exist,1,5,5,2026-03-04T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
