name,url,source_kind,coverage_notes,mission_area_fit,domain_fit,credibility,status,last_checked,search_notes,recurring_feed_available,recurring_feed_notes
"Deep Trekker Defence ROVs","https://www.deeptrekker.com/industries/defense","company_press_room","First-party defence page for portable underwater ROV reconnaissance inspection and diver-support capability","Underwater ISR|Autonomous Patrol","Maritime Systems|ISR & Sensing|Autonomy & Robotics","high","active","2026-07-15","Follow named ROV models and public defence deployments for product-level evidence","unknown","Canadian company source lead"
"Voyis Observer Imaging Systems","https://voyis.com/observer-imaging-systems/","company_press_room","First-party product page for underwater imaging payloads cameras lighting and laser-scanner integration","Underwater ISR","Maritime Systems|ISR & Sensing","high","active","2026-07-15","Follow named Observer models and public security or infrastructure deployments","unknown","Canadian company source lead"
"RBR Realtime Sensors","https://rbr-global.com/products/sensors/","company_press_room","First-party catalogue for Canadian oceanographic sensors spanning depth salinity temperature gases and polar deployments","Underwater ISR|Arctic Domain Awareness","Maritime Systems|ISR & Sensing","high","active","2026-07-15","Follow instrument pages and uncrewed or defence integration evidence","unknown","Canadian company source lead"
"ISE Explorer AUV","https://ise.bc.ca/product/explorer/","company_press_room","First-party product page for the Canadian long-range Explorer autonomous underwater vehicle and under-ice missions","Underwater ISR|Arctic Domain Awareness|Autonomous Patrol","Maritime Systems|ISR & Sensing|Autonomy & Robotics","high","active","2026-07-15","Follow current configurations payloads commercial status and recent programme evidence","unknown","Canadian company source lead"
"Ocean Sonics icListen","https://oceansonics.com/","company_press_room","First-party source for Canadian smart hydrophones acoustic arrays onboard processing and real-time underwater monitoring","Underwater ISR|Arctic Domain Awareness|Distributed Sensor Networks","Maritime Systems|ISR & Sensing|Cyber & Data","high","active","2026-07-15","Follow product specifications and public defence or maritime-security deployments","unknown","Canadian company source lead"
"SEAMOR Marine ROVs","https://seamor.com/","company_press_room","First-party catalogue for Canadian inspection-class remotely operated underwater vehicles","Underwater ISR|Autonomous Patrol","Maritime Systems|ISR & Sensing|Autonomy & Robotics","high","active","2026-07-15","Follow named ROV products and public defence security or critical-infrastructure applications","unknown","Canadian company source lead"
"SubC Imaging Systems","https://www.subcimaging.com/home","company_press_room","First-party source for Canadian subsea cameras lighting lasers DVR and remote inspection systems","Underwater ISR","Maritime Systems|ISR & Sensing|Cyber & Data","high","active","2026-07-15","Follow one integrated product and public mission-specific deployments","unknown","Canadian company source lead"
"Nautel Sonar","https://nautelsonar.com/","company_press_room","First-party source for Canadian naval sonar products wet-end subsystems and underwater-warfare programme support","Underwater ISR","Maritime Systems|ISR & Sensing","high","active","2026-07-15","Follow named systems and corroborating RCN or allied programme pages","unknown","Canadian company source lead"
"JASCO Defence And Security","https://www.jasco.com/defence","company_press_room","First-party defence page for underwater acoustic systems analysis arrays software and Canadian naval upgrade work","Underwater ISR|Arctic Domain Awareness|Distributed Sensor Networks","Maritime Systems|ISR & Sensing|Cyber & Data","high","active","2026-07-15","Follow named products and corroborate programme claims through government or prime sources","unknown","Canadian company source lead"
"Xeos XMA-11K Beacon","https://xeostech.com/sites/default/files/2025-02/XMA-11K%20Brochure.pdf","company_press_room","First-party brochure for a Canadian eleven-thousand-metre submersible asset-recovery beacon","Underwater ISR|Northern Logistics And Sustainment Readiness","Maritime Systems|Communications & Infrastructure","high","active","2026-07-15","Assess whether this belongs in mission coverage or only underwater support and recovery","unknown","Canadian company source lead"
"AML Oceanographic","https://amloceanographic.ca/","company_press_room","First-party source for Canadian oceanographic sensors profilers and moving-vessel measurement systems","Underwater ISR|Arctic Domain Awareness","Maritime Systems|ISR & Sensing","high","active","2026-07-15","Follow named products and hydrographic or sonar-support deployments","unknown","Canadian company source lead"
"Sensor Technology Ltd","https://sensortechcanada.com/","company_press_room","First-party source for Canadian piezoelectric acoustic sensors hydrophones and defence-prime underwater systems","Underwater ISR|Distributed Sensor Networks","Maritime Systems|ISR & Sensing","high","active","2026-07-15","Follow named acoustic systems public specifications and programme evidence","unknown","Canadian company source lead"
